,belongs_to_collection,budget,genres,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
1029,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Recall,2.551,"[{'id': 29814, 'logo_path': None, 'name': 'Backlash Films', 'origin_country': ''}, {'id': 106330, 'logo_path': None, 'name': 'Sech Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-07-03,0.0,75.0,Recall,7.7,3.0
1030,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",Autumn Stables,2.111,"[{'id': 91886, 'logo_path': None, 'name': 'Good Soldier Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-17,0.0,90.0,Autumn Stables,7.7,3.0
1031,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Savage Youth,2.475,"[{'id': 102579, 'logo_path': None, 'name': 'Hiventure Media Sa', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-01-22,0.0,100.0,Savage Youth,7.7,3.0
1032,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",Souls of Totality,1.826,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-02-05,0.0,19.0,Souls of Totality,7.7,3.0
1033,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Hammer Horror: The Warner Bros. Years,0.768,[],[],2018-02-13,0.0,101.0,Hammer Horror: The Warner Bros. Years,7.7,3.0
1034,,0.0,"[{'id': 16, 'name': 'Animation'}]",Solar Walk,0.84,[],"[{'iso_3166_1': 'DK', 'name': 'Denmark'}]",2018-03-15,0.0,21.0,Solar Walk,7.7,3.0
1035,,0.0,"[{'id': 99, 'name': 'Documentary'}]",The Flatwoods Monster: A Legacy of Fear,2.014,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-06,0.0,,The Flatwoods Monster: A Legacy of Fear,7.7,3.0
1036,,0.0,"[{'id': 99, 'name': 'Documentary'}]",If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,3.806,"[{'id': 6547, 'logo_path': None, 'name': 'Country Music Television (CMT)', 'origin_country': ''}, {'id': 11594, 'logo_path': '/fOQ18TmeTzQaVLiMayYGfc5uzoL.png', 'name': 'Passion Pictures', 'origin_country': 'GB'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-03-13,0.0,94.0,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,7.7,6.0
1037,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Operation Odessa,3.493,"[{'id': 37014, 'logo_path': None, 'name': 'Showtime Pictures Inc.', 'origin_country': ''}, {'id': 119280, 'logo_path': None, 'name': 'Belfort Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-03-10,0.0,95.0,Operation Odessa,7.7,12.0
1038,,0.0,"[{'id': 10402, 'name': 'Music'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 14, 'name': 'Fantasy'}]",Under the Sea: A Descendants Story,3.724,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-09-28,0.0,10.0,Under the Sea: A Descendants Story,7.7,13.0
1039,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",Amazing Grace,5.723,"[{'id': 10479, 'logo_path': '/oCj1bt8kcoxfJPXoxjqfjeJvF3Y.png', 'name': 'Sundial Pictures', 'origin_country': 'US'}, {'id': 4319, 'logo_path': None, 'name': '40 Acres & A Mule Filmworks', 'origin_country': 'US'}, {'id': 122268, 'logo_path': None, 'name': ""Al's Records And Tapes"", 'origin_country': ''}, {'id': 122269, 'logo_path': None, 'name': 'Rampant', 'origin_country': ''}, {'id': 2402, 'logo_path': None, 'name': 'Time', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-12,0.0,87.0,Amazing Grace,7.6,17.0
1040,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",Bao,9.676,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-15,0.0,8.0,Bao,7.6,520.0
1041,,0.0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",Girl in the Bunker,2.839,"[{'id': 100318, 'logo_path': '/wci7qHqf37t6BOOvaDQPwQKBxjL.png', 'name': 'Rare Fish Films', 'origin_country': 'CA'}, {'id': 32205, 'logo_path': '/dQmrjj3YjGoXlulrQu6IHPf5Vmj.png', 'name': 'Cineflix Productions', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-01-12,0.0,88.0,Girl in the Bunker,7.6,4.0
1042,,0.0,[],Parallel,1.416,"[{'id': 13240, 'logo_path': '/aTc07YaNHo8WNgkQSnvLmG6w4nW.png', 'name': 'Bron Studios', 'origin_country': 'CA'}]",[],2018-04-10,0.0,,Parallel,7.6,4.0
1043,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Shirkers,4.769,"[{'id': 12219, 'logo_path': '/2ddXaM0AHMpAl3tmwfbwyjP6SP.png', 'name': 'Cinereach', 'origin_country': 'US'}, {'id': 110594, 'logo_path': None, 'name': 'Doc Society', 'origin_country': ''}, {'id': 110595, 'logo_path': None, 'name': 'Shirkers', 'origin_country': ''}]","[{'iso_3166_1': 'SG', 'name': 'Singapore'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-01-21,0.0,96.0,Shirkers,7.6,44.0
1044,,0.0,"[{'id': 99, 'name': 'Documentary'}]",I Am Maris: Portrait of a Young Yogi,1.443,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-13,0.0,52.0,I Am Maris: Portrait of a Young Yogi,7.6,5.0
1045,"{'id': 497534, 'name': 'The Invoking Collection', 'poster_path': '/iZW8eZf08DR03B7CpnD71it4uj0.jpg', 'backdrop_path': '/1i4XCpmCbjM8TtuDt6khO7SsJ6P.jpg'}",0.0,"[{'id': 27, 'name': 'Horror'}]",Invoking 5,2.184,"[{'id': 97253, 'logo_path': None, 'name': 'WOWNow Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-09,0.0,79.0,Invoking 5,7.6,5.0
1046,,0.0,"[{'id': 16, 'name': 'Animation'}]",Enough,1.4,"[{'id': 29427, 'logo_path': None, 'name': 'Royal College of Art', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-03-22,0.0,3.0,Enough,7.6,5.0
1047,,0.0,"[{'id': 35, 'name': 'Comedy'}]",Jim Gaffigan: Noble Ape,1.968,"[{'id': 49261, 'logo_path': '/76fTTVFWNkXxSfy6kOviJ1OtFDT.png', 'name': 'Comedy Dynamics', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-07-13,0.0,67.0,Jim Gaffigan: Noble Ape,7.6,10.0
1048,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",Lies We Tell,1.723,"[{'id': 99414, 'logo_path': None, 'name': 'Bradford International Film Associates', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-02-02,0.0,109.0,Lies We Tell,7.6,5.0
1049,,0.0,"[{'id': 99, 'name': 'Documentary'}]",The Road to Stardom: The Making of A Star is Born,1.189,"[{'id': 14772, 'logo_path': None, 'name': 'Warner Bros. Home Entertainment Group', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-07,0.0,30.0,The Road to Stardom: The Making of A Star is Born,7.6,6.0
1050,,0.0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 10751, 'name': 'Family'}]",Every Other Holiday,2.873,"[{'id': 3431, 'logo_path': '/6LVLYfZAEQfhJey0MGvhFXdDEK1.png', 'name': 'Lifetime', 'origin_country': 'US'}]",[],2018-11-23,0.0,89.0,Every Other Holiday,7.6,7.0
1051,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}, {'id': 36, 'name': 'History'}]",Quincy,5.693,"[{'id': 11391, 'logo_path': None, 'name': 'Tribeca Productions', 'origin_country': 'US'}, {'id': 31834, 'logo_path': None, 'name': 'Le Train Train', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-09-21,0.0,124.0,Quincy,7.6,42.0
1052,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10770, 'name': 'TV Movie'}]",Devious Nanny,5.077,"[{'id': 6679, 'logo_path': None, 'name': 'MarVista Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-03-02,0.0,83.0,Devious Nanny,7.6,7.0
1053,,0.0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Where Hands Touch,7.763,"[{'id': 108725, 'logo_path': None, 'name': 'Tantrum Films', 'origin_country': ''}, {'id': 19037, 'logo_path': '/xhAYgpFmJfcCVLV5NMD8QKvqqHc.png', 'name': 'Umedia', 'origin_country': 'BE'}, {'id': 5056, 'logo_path': '/kADFcjL04xe5HGBnlLjbfhliS2a.png', 'name': 'Head Gear Films', 'origin_country': 'GB'}, {'id': 62230, 'logo_path': None, 'name': 'Pinewood Pictures', 'origin_country': ''}, {'id': 2268, 'logo_path': '/wgDks2qYgwN6u1OkW1bBre0rf4F.png', 'name': 'Isle of Man Film', 'origin_country': 'GB'}, {'id': 7281, 'logo_path': '/lkqIuaKTm2sg3umwTBScmqyzLX5.png', 'name': 'British Film Institute', 'origin_country': 'GB'}, {'id': 25954, 'logo_path': None, 'name': 'Metrol Technology', 'origin_country': 'GB'}, {'id': 41115, 'logo_path': None, 'name': 'British Film Company', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-09-14,0.0,122.0,Where Hands Touch,7.6,130.0
1054,,0.0,"[{'id': 36, 'name': 'History'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 99, 'name': 'Documentary'}]",MARS: Inside SpaceX,3.741,"[{'id': 89394, 'logo_path': '/m1Hku3PhgdsQiPO8uVe7szyrxAb.png', 'name': 'RadicalMedia', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-11,0.0,46.0,MARS: Inside SpaceX,7.6,9.0
1055,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",X - The eXploited,3.095,"[{'id': 55669, 'logo_path': None, 'name': 'Focus-Fox Studio', 'origin_country': ''}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",2018-11-01,0.0,111.0,X - The eXploited,7.6,9.0
1056,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Black Sheep,3.978,"[{'id': 15285, 'logo_path': '/rt5C9eCSrz7K1ReFRfTfddpe9K3.png', 'name': 'Lightbox Entertainment', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-05-01,0.0,27.0,Black Sheep,7.5,32.0
1057,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Blindspotting,11.463,"[{'id': 491, 'logo_path': '/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 15159, 'logo_path': None, 'name': 'Snoot Entertainment', 'origin_country': ''}, {'id': 112794, 'logo_path': '/j0fh3JuGAAQww9U0uF04HaAyuez.png', 'name': 'Codeblack Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-07-20,0.0,95.0,Blindspotting,7.5,283.0
1058,,0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",I Can Only Imagine,9.01,"[{'id': 34233, 'logo_path': None, 'name': 'Toy Gun Films', 'origin_country': ''}, {'id': 100854, 'logo_path': None, 'name': 'Imagine Rights', 'origin_country': 'US'}, {'id': 100855, 'logo_path': None, 'name': 'Kevin Downes Productions', 'origin_country': ''}, {'id': 8533, 'logo_path': None, 'name': 'Liddell Entertainment', 'origin_country': ''}, {'id': 54927, 'logo_path': None, 'name': 'Mission Pictures International', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-02-14,0.0,110.0,I Can Only Imagine,7.5,188.0
1059,,35000.0,"[{'id': 35, 'name': 'Comedy'}]",Double Eagle Ranch,1.036,[],[],2018-06-16,0.0,107.0,Double Eagle Ranch,7.5,2.0
1060,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",Five Course Meal,0.692,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-10-13,0.0,6.0,Five Course Meal,7.5,2.0
1061,,0.0,"[{'id': 18, 'name': 'Drama'}]",Every 21 Seconds,1.671,[],[],2018-04-13,0.0,120.0,Every 21 Seconds,7.5,2.0
1062,,0.0,"[{'id': 18, 'name': 'Drama'}]",The Price for Silence,2.348,"[{'id': 46455, 'logo_path': None, 'name': 'Vincenzo Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-19,0.0,107.0,The Price for Silence,7.5,2.0
1063,,0.0,"[{'id': 16, 'name': 'Animation'}]",Ostrich Politic,0.946,"[{'id': 71552, 'logo_path': '/njBJUQovEtoAV12ElAtPPnDG2u0.png', 'name': 'Gobelins', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2018-11-15,0.0,7.0,Ostrich Politic,7.5,2.0
1064,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",Power Rangers Legacy Wars: Street Fighter Showdown,0.709,"[{'id': 21705, 'logo_path': None, 'name': 'Bat in the Sun Productions', 'origin_country': ''}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 57031, 'logo_path': None, 'name': 'Allspark Pictures', 'origin_country': ''}, {'id': 120453, 'logo_path': None, 'name': 'nWay', 'origin_country': ''}, {'id': 7220, 'logo_path': '/dD0x5awPmtx4sAr2pNvkmxkCODh.png', 'name': 'CAPCOM', 'origin_country': 'JP'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-09,0.0,8.0,Power Rangers Legacy Wars: Street Fighter Showdown,7.5,2.0
1065,,25000.0,"[{'id': 53, 'name': 'Thriller'}]",Nowhere Mind,2.553,"[{'id': 112533, 'logo_path': None, 'name': 'Haphazard Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-19,0.0,105.0,Nowhere Mind,7.5,2.0
1066,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",Coins for Christmas,0.84,[],[],2018-12-16,0.0,90.0,Coins for Christmas,7.5,1.0
1067,,0.0,[],Take Me Out,0.766,[],[],2018-04-10,0.0,83.0,Take Me Out,7.5,2.0
1068,,0.0,"[{'id': 37, 'name': 'Western'}]",A Fistful of Lead,3.572,"[{'id': 111964, 'logo_path': None, 'name': 'Dead Pixel Productions', 'origin_country': ''}, {'id': 111965, 'logo_path': None, 'name': 'Independent Moving Pictures', 'origin_country': ''}, {'id': 80069, 'logo_path': None, 'name': 'Posterity Pictures', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-12-04,0.0,86.0,A Fistful of Lead,7.5,2.0
1069,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",A Snow White Christmas,2.906,[],[],2018-12-09,0.0,,A Snow White Christmas,7.5,5.0
1070,,0.0,"[{'id': 99, 'name': 'Documentary'}]",The Corporate Coup D'État,0.779,"[{'id': 28800, 'logo_path': None, 'name': 'White Pine Pictures', 'origin_country': ''}, {'id': 57317, 'logo_path': None, 'name': 'Ventana Film- und Fernsehproduktion', 'origin_country': 'DE'}, {'id': 11577, 'logo_path': '/rqGf031msXZRkHeoRu0nRlI8vW8.png', 'name': 'Super Channel', 'origin_country': 'CA'}, {'id': 11237, 'logo_path': None, 'name': 'ZDF/Arte', 'origin_country': 'DE'}, {'id': 114337, 'logo_path': None, 'name': 'YLE', 'origin_country': ''}, {'id': 114338, 'logo_path': None, 'name': 'Ontario Creates', 'origin_country': ''}, {'id': 806, 'logo_path': '/kcNh09qqR2Pkw1JAzRW4CommrW4.png', 'name': 'Téléfilm Canada', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FI', 'name': 'Finland'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2018-11-18,0.0,89.0,The Corporate Coup D'État,7.5,4.0
1071,,0.0,"[{'id': 35, 'name': 'Comedy'}]",Holly Star,1.096,[],[],2018-12-02,0.0,90.0,Holly Star,7.5,2.0
1072,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Daring to Dream: England's Story at the 2018 FIFA World Cup,1.255,[],[],2018-11-19,0.0,102.0,Daring to Dream: England's Story at the 2018 FIFA World Cup,7.5,3.0
1073,,0.0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",Torvill & Dean,1.611,"[{'id': 2015, 'logo_path': None, 'name': 'Darlow Smithson Productions', 'origin_country': 'GB'}, {'id': 3448, 'logo_path': '/dcA8JDfnnQPMaq8lv2CCiYrNe0S.png', 'name': 'ITV', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-12-25,0.0,90.0,Torvill & Dean,7.5,2.0
1074,,0.0,"[{'id': 99, 'name': 'Documentary'}]",The Eugenics Crusade,0.753,[],[],2018-10-16,0.0,120.0,The Eugenics Crusade,7.5,2.0
1075,,0.0,"[{'id': 27, 'name': 'Horror'}]",Karma,3.174,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-13,0.0,90.0,Karma,7.5,1.0
1076,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",Jingle Around the Clock,4.64,[],[],2018-12-22,0.0,90.0,Jingle Around the Clock,7.5,8.0
1077,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",Trolled,1.922,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-09-18,0.0,92.0,Trolled,7.5,2.0
1078,"{'id': 550492, 'name': 'Somm Collection', 'poster_path': '/69HxHYSzdgu7VU6D46zPxO4Tead.jpg', 'backdrop_path': None}",0.0,"[{'id': 99, 'name': 'Documentary'}]",Somm 3,1.098,"[{'id': 69870, 'logo_path': '/j2W3zaK1LEnV6oiFelz2BcRUCPD.png', 'name': 'Forgotten Man Films', 'origin_country': 'US'}]",[],2018-10-16,0.0,80.0,Somm 3,7.5,2.0
1079,,0.0,"[{'id': 18, 'name': 'Drama'}]",Rise: Ini Kalilah,1.348,"[{'id': 108809, 'logo_path': None, 'name': 'MM2 ENTERTAINMENT SDN BHD', 'origin_country': ''}]","[{'iso_3166_1': 'MY', 'name': 'Malaysia'}]",2018-09-13,0.0,102.0,Rise: Ini Kalilah,7.5,2.0
1080,,0.0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",The Carnival Is Over,0.939,"[{'id': 108605, 'logo_path': None, 'name': 'Shirinneshat', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-09-05,0.0,9.0,The Carnival Is Over,7.5,2.0
1081,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",Rudeboy: The Story of Trojan Records,1.283,[],"[{'iso_3166_1': 'JM', 'name': 'Jamaica'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-10-12,0.0,86.0,Rudeboy: The Story of Trojan Records,7.5,2.0
1082,,0.0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",Mother's Day,1.252,"[{'id': 80893, 'logo_path': '/8rITuQjEtHEjdyU49sv9fKBYf8E.png', 'name': 'BBC Studios', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-09-03,0.0,90.0,Mother's Day,7.5,2.0
1083,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Stolen Daughters: Kidnapped By Boko Haram,1.508,"[{'id': 3268, 'logo_path': '/tuomPhY2UtuPTqqFnKMVHvSb724.png', 'name': 'HBO', 'origin_country': 'US'}, {'id': 14914, 'logo_path': '/1RZBWz53SpHUTLpRcM8BGv2plIP.png', 'name': 'HBO Documentary Films', 'origin_country': 'US'}, {'id': 201, 'logo_path': '/6UIpEURdjnmcJPwgTDRzVRuwADr.png', 'name': 'ARTE', 'origin_country': 'FR'}, {'id': 103287, 'logo_path': '/2f1yKuoXx3qdEJVMF46kkXOsVll.png', 'name': 'BBC Two', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-10-22,0.0,79.0,Stolen Daughters: Kidnapped By Boko Haram,7.5,2.0
1084,,0.0,"[{'id': 18, 'name': 'Drama'}]",Jane and Emma,1.282,"[{'id': 107901, 'logo_path': '/a7diXzBrwgw34QeLKiSgeUMEWAf.png', 'name': 'Clearstone Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-12,0.0,90.0,Jane and Emma,7.5,1.0
1085,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Waterschool,1.1,[],[],2018-01-20,0.0,70.0,Waterschool,7.5,2.0
1086,,0.0,"[{'id': 53, 'name': 'Thriller'}]",Nanny Surveillance,1.67,[],[],2018-07-15,0.0,,Nanny Surveillance,7.5,2.0
1087,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Happy Sad Man,0.6,[],"[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2018-08-12,0.0,89.0,Happy Sad Man,7.5,2.0
1088,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",Grandmother's Gold,1.768,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-07-10,0.0,81.0,Grandmother's Gold,7.5,2.0
1089,"{'id': 598479, 'name': 'Action Figures Collection', 'poster_path': '/s9rEygEWXn5wtA35DgM9ee76Aqh.jpg', 'backdrop_path': '/va1oBzDtlWRE5SPOCzJ6KmimBWe.jpg'}",0.0,"[{'id': 28, 'name': 'Action'}]",Action Figures 2,1.698,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-28,0.0,61.0,Action Figures 2,7.5,2.0
1090,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Can't Nobody Else Love You,0.6,"[{'id': 105684, 'logo_path': None, 'name': 'BRAVO', 'origin_country': ''}]",[],2018-05-14,0.0,,Can't Nobody Else Love You,7.5,2.0
1091,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 16, 'name': 'Animation'}]",Worlds of Ursula K. Le Guin,2.18,"[{'id': 116652, 'logo_path': None, 'name': 'Arwen Curry', 'origin_country': ''}, {'id': 99614, 'logo_path': '/gXrb4q4TqBHCYEvjRa16WOE9NRs.png', 'name': 'American Masters Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-11,0.0,66.0,Worlds of Ursula K. Le Guin,7.5,2.0
1092,,0.0,"[{'id': 18, 'name': 'Drama'}]",Sunset,0.9,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-27,0.0,84.0,Sunset,7.5,1.0
1093,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Ballet Now,1.427,"[{'id': 73067, 'logo_path': '/pSEeTGFLhX5lntHaNOdGSighVZo.png', 'name': 'Vulcan Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-05,0.0,74.0,Ballet Now,7.5,2.0
1094,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10402, 'name': 'Music'}]",Seder-Masochism,1.953,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-11,0.0,78.0,Seder-Masochism,7.5,2.0
1095,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Natsuki: The Movie,0.709,[],"[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-05-31,0.0,62.0,Natsuki: The Movie,7.5,2.0
1096,,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",Wanderland,2.091,[],[],2018-04-20,0.0,90.0,Wanderland,7.5,4.0
1097,,60.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 16, 'name': 'Animation'}]",The Jon Weiner Collection: ReWeinered Edition,0.6,"[{'id': 103189, 'logo_path': None, 'name': 'Mike Cheese LLC', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-08,0.0,59.0,The Jon Weiner Collection: ReWeinered Edition,7.5,2.0
1098,,15000.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 36, 'name': 'History'}]",Glossary of Broken Dreams,1.83,[],[],2018-03-16,0.0,98.0,Glossary of Broken Dreams,7.5,4.0
1099,,0.0,"[{'id': 99, 'name': 'Documentary'}]",The Last Resort,1.099,[],[],2018-01-23,0.0,70.0,The Last Resort,7.5,2.0
1100,,25000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Maybe Shower,0.84,"[{'id': 59785, 'logo_path': None, 'name': 'Greenless Studios', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-03-24,0.0,78.0,Maybe Shower,7.5,2.0
1101,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Paper Year,1.851,"[{'id': 4908, 'logo_path': None, 'name': 'First Generation Films', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-04-19,0.0,89.0,Paper Year,7.5,6.0
1102,,0.0,"[{'id': 99, 'name': 'Documentary'}]",Satan & Adam,1.246,"[{'id': 73068, 'logo_path': None, 'name': 'RYOT Films', 'origin_country': ''}, {'id': 862, 'logo_path': '/udTjbqPmcTbfrihMuLtLcizDEM1.png', 'name': 'The Kennedy/Marshall Company', 'origin_country': 'US'}]",[],2018-04-20,0.0,78.0,Satan & Adam,7.5,2.0
