,budget,genres,id,imdb_id,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
1313,15.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",591352.0,,Aidan vs. the Lord of Laundry,0.668,"[{'id': 116441, 'logo_path': None, 'name': 'Film Fellas', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-27,0.0,6.0,Aidan vs. the Lord of Laundry,7.0,1.0
1314,0.0,"[{'id': 18, 'name': 'Drama'}]",590425.0,tt8631800,Up North,0.84,[],"[{'iso_3166_1': 'NG', 'name': 'Nigeria'}]",2018-12-28,0.0,99.0,Up North,7.0,1.0
1315,0.0,"[{'id': 99, 'name': 'Documentary'}]",590311.0,tt9866284,The Far Green Country,0.679,[],[],2018-10-13,0.0,,The Far Green Country,7.0,1.0
1316,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",588769.0,tt8435500,Brush: A Fox Tale,0.9,[],[],2018-05-12,0.0,4.0,Brush: A Fox Tale,7.0,1.0
1317,0.0,"[{'id': 10402, 'name': 'Music'}]",588705.0,,Afrikaans Is Groot 2017,0.6,"[{'id': 85700, 'logo_path': None, 'name': 'Afrikaans is Groot', 'origin_country': ''}]",[],2018-05-11,0.0,152.0,Afrikaans Is Groot 2017,7.0,1.0
1318,100000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",586604.0,tt6692926,Chasing Bullitt,1.99,"[{'id': 115615, 'logo_path': None, 'name': 'Toe Pictures', 'origin_country': ''}, {'id': 88606, 'logo_path': None, 'name': 'Vertical Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-08,0.0,90.0,Chasing Bullitt,7.0,2.0
1319,225000.0,"[{'id': 99, 'name': 'Documentary'}]",582308.0,tt9397492,Finger of God 2,1.487,"[{'id': 29186, 'logo_path': None, 'name': 'Wanderlust Productions', 'origin_country': ''}, {'id': 114838, 'logo_path': None, 'name': 'Willgo Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-04,0.0,91.0,Finger of God 2,7.0,1.0
1320,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",579960.0,tt9588298,The Trial of Ratko Mladic,0.6,"[{'id': 92028, 'logo_path': None, 'name': 'Sandpaper Films', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-11-18,0.0,99.0,The Trial of Ratko Mladic,7.0,2.0
1321,0.0,"[{'id': 99, 'name': 'Documentary'}]",578517.0,tt9072706,Fast Horse,1.063,"[{'id': 114069, 'logo_path': None, 'name': 'Handful of Films', 'origin_country': 'CA'}]",[],2018-10-20,0.0,13.0,Fast Horse,7.0,2.0
1322,0.0,"[{'id': 99, 'name': 'Documentary'}]",578377.0,tt9018542,David Attenborough's Tasmania,0.704,"[{'id': 98782, 'logo_path': '/uPunhAF3f3M3aKmt4EZg605qfum.png', 'name': 'Humble Bee Films', 'origin_country': 'GB'}, {'id': 114047, 'logo_path': None, 'name': 'Black Devil Productions', 'origin_country': 'AU'}]",[],2018-06-03,0.0,51.0,David Attenborough's Tasmania,7.0,1.0
1323,0.0,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",575061.0,tt9424514,Victoria & Albert: The Royal Wedding,1.534,"[{'id': 31272, 'logo_path': '/kJU4FbsNy58061t5313VKpfksh5.png', 'name': 'BBC Bristol Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-12-21,0.0,90.0,Victoria & Albert: The Royal Wedding,7.0,1.0
1324,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",574194.0,tt7193218,The Quiet Room,1.259,[],[],2018-02-23,0.0,28.0,The Quiet Room,7.0,3.0
1325,10000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",573926.0,tt4630404,Masters in Crime,1.247,"[{'id': 113281, 'logo_path': None, 'name': 'Fountaine Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-09-21,0.0,17.0,Masters in Crime,7.0,3.0
1326,2500.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",573612.0,,Birthday,0.6,"[{'id': 113203, 'logo_path': None, 'name': 'IBN Studios', 'origin_country': ''}, {'id': 113204, 'logo_path': None, 'name': 'Delorme Productions', 'origin_country': ''}, {'id': 113205, 'logo_path': None, 'name': 'Spaceman Studios', 'origin_country': ''}, {'id': 104290, 'logo_path': None, 'name': 'John Abbott ALC - Media', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-12-14,0.0,7.0,Birthday,7.0,1.0
1327,0.0,[],572490.0,tt9455538,Marc-Marie Huijbregts: Onderweg naar Morgen,0.6,[],[],2018-12-31,0.0,72.0,Marc-Marie Huijbregts: Onderweg naar Morgen,7.0,1.0
1328,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",571283.0,tt8142712,Pornomochi,1.269,[],[],2018-04-06,0.0,117.0,Pornomochi,7.0,1.0
1329,0.0,"[{'id': 18, 'name': 'Drama'}]",570465.0,tt8329618,King of Boys,2.454,"[{'id': 112657, 'logo_path': None, 'name': 'Kemi Adetiba Visuals', 'origin_country': ''}]","[{'iso_3166_1': 'NG', 'name': 'Nigeria'}]",2018-10-26,0.0,169.0,King of Boys,7.0,2.0
1330,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 16, 'name': 'Animation'}]",569888.0,tt9474678,The Predator Holiday Special,0.731,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 51032, 'logo_path': None, 'name': 'Stoopid Buddy Stoodios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-19,0.0,2.0,The Predator Holiday Special,7.0,3.0
1331,0.0,"[{'id': 35, 'name': 'Comedy'}]",568563.0,tt9184886,Pete Holmes: Dirty Clean,1.8,"[{'id': 3268, 'logo_path': '/tuomPhY2UtuPTqqFnKMVHvSb724.png', 'name': 'HBO', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-15,0.0,75.0,Pete Holmes: Dirty Clean,7.0,4.0
1332,0.0,"[{'id': 99, 'name': 'Documentary'}]",568154.0,,Susan Powell: An ID Murder Mystery,1.194,[],[],2018-12-12,0.0,99.0,Susan Powell: An ID Murder Mystery,7.0,1.0
1333,0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 53, 'name': 'Thriller'}]",568143.0,tt8171080,Do Not Be Deceived,1.949,"[{'id': 112797, 'logo_path': '/94y8VwMXiaKNqG5UrTgMOAhEDie.png', 'name': 'The Ninth House', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-08,0.0,,Do Not Be Deceived,7.0,2.0
1334,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",568047.0,tt9419838,Panic: The Untold Story of the 2008 Financial Crisis,2.089,[],[],2018-12-11,0.0,96.0,Panic: The Untold Story of the 2008 Financial Crisis,7.0,5.0
1335,0.0,"[{'id': 99, 'name': 'Documentary'}]",567807.0,tt8498324,Katie,0.753,"[{'id': 112221, 'logo_path': None, 'name': 'True Films', 'origin_country': ''}, {'id': 11076, 'logo_path': '/woVX7fJFD3FKmT430o4nHNjx2e8.png', 'name': 'Venom Films', 'origin_country': 'IE'}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}]",2018-10-26,0.0,89.0,Katie,7.0,2.0
1336,0.0,"[{'id': 27, 'name': 'Horror'}]",567158.0,tt9281508,Mikus,0.84,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-04,0.0,4.0,Mikus,7.0,1.0
1337,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",567126.0,tt8618716,"Dennis Miller: Fake News, Real Jokes",1.051,[],[],2018-11-06,0.0,58.0,"Dennis Miller: Fake News, Real Jokes",7.0,1.0
1338,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",566876.0,tt6250554,Payday,3.328,"[{'id': 86688, 'logo_path': None, 'name': 'A Cut to the Chase Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-05,0.0,105.0,Payday,7.0,3.0
1339,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",565989.0,tt9322614,LEGO Jurassic World: The Secret Exhibit,1.42,"[{'id': 5556, 'logo_path': '/qtdp2UWJNleyYy6ur7DDgPYUxqz.png', 'name': 'Universal Animation Studios', 'origin_country': 'US'}, {'id': 71739, 'logo_path': None, 'name': 'Atomic Cartoons', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-29,0.0,48.0,LEGO Jurassic World: The Secret Exhibit,7.0,4.0
1340,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",565144.0,tt5028702,Alien Addiction,0.84,[],"[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",2018-11-15,0.0,90.0,Alien Addiction,7.0,1.0
1341,5000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",564449.0,tt9207268,Ultra-Girl,0.84,"[{'id': 27787, 'logo_path': None, 'name': 'Blinky Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-01,0.0,13.0,Ultra-Girl,7.0,3.0
