,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,status_code,status_message
4102,False,,,0.0,[],https://vimeo.com/274071456,619486.0,,en,Today I Thought About Killing You (self portrait),datamosh self portrait set to Kanye West,0.6,/uOjtElTCtpLagODIGqdDMknBLWZ.jpg,[],[],2018-06-08,0.0,2.0,[],Released,,Today I Thought About Killing You (self portrait),False,0.0,0.0,,
4103,False,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,619481.0,tt8382536,en,Afikoman,An abattoir employee decides on a whim to rescue a calf still underweight for slaughter.,0.67,,"[{'id': 50500, 'logo_path': None, 'name': 'FullDawa Films', 'origin_country': ''}, {'id': 41261, 'logo_path': None, 'name': 'Adami', 'origin_country': ''}, {'id': 7561, 'logo_path': '/yWTuzkQnp4NCS7fDVd5vzgLjoux.png', 'name': 'Nexus Factory', 'origin_country': 'BE'}, {'id': 19037, 'logo_path': '/xhAYgpFmJfcCVLV5NMD8QKvqqHc.png', 'name': 'Umedia', 'origin_country': 'BE'}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2018-02-10,0.0,13.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,An abattoir employee decides on a whim to rescue a calf still underweight for slaughter.,Afikoman,False,0.0,0.0,,
4104,False,/muM7P9QEh77V18hScpKRJlOOjP.jpg,,0.0,"[{'id': 10402, 'name': 'Music'}]",,619364.0,,en,Delta Goodrem:  Wings Of The Wild Live,"Delta Goodrem has amassed 17 Top Ten singles, 16 ARIA Awards, a Silver Logie Award, 3 World Music Awards and 23x Platinum album accreditations. The Wings of the Wild Tour features performances of her biggest hits to sold out arenas across Australia.",0.6,/je8b0Lrr3RFvc9pued12ugUufpt.jpg,"[{'id': 121387, 'logo_path': None, 'name': 'Sony Music Entertainment Australia Pty Ltd.', 'origin_country': ''}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2018-11-02,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Delta Goodrem:  Wings Of The Wild Live,False,0.0,0.0,,
4105,False,,,0.0,[],http://bomcguire.com/writing-directing.html,619301.0,tt7583154,en,Socks on Fire,"A lyrical meditation exploring personal family relationships, archetypes and myths through a variety of means & textures.",0.6,,[],[],2018-04-13,0.0,15.0,[],Released,,Socks on Fire,False,0.0,0.0,,
4106,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10752, 'name': 'War'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 36, 'name': 'History'}]",,619275.0,,en,Captain Jack and the Furious Few,The remarkable story of a pioneering aviator from Ulster during World War I.,0.6,/pQT5ILBa7efq2ibpAg5jIf99zwS.jpg,"[{'id': 121371, 'logo_path': None, 'name': 'Below the Radar Ltd', 'origin_country': ''}, {'id': 16630, 'logo_path': None, 'name': 'BBC Four', 'origin_country': ''}, {'id': 20639, 'logo_path': '/qypOd6AlNrfHIXN9nArZmyMv6do.png', 'name': 'BBC Northern Ireland', 'origin_country': 'GB'}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-11-05,0.0,60.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Captain Jack and the Furious Few,False,0.0,0.0,,
4107,False,/hPJwUPclBbUwpUfKY8R9fAN1lj5.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,619236.0,tt8089324,en,Light My Fire,A vengeful father hunts down his daughter's boyfriend on the Fourth of July.,0.68,/yU2dHxmiCuQ3LoK0azVewtPlrwr.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-26,0.0,9.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Light My Fire,False,0.0,0.0,,
4108,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",,619187.0,,en,Costs,"As a response to the current investment in large hydroelectric dams as a ground to Brazil's 'sustainable' economic growth, ""Costs"" addresses the impacts these endeavour have caused on both the environment and people. Director Marilene Ribeiro surveys three hydro schemes that happen at different times in Brazil (past - the Sobradinho dam, present - the Belo Monte dam, and future - the Garambi-Panambi dam complex). The video engages with situations in which the impacts caused by dams emerge in a more sensitive way; for example, when participants of her project (individuals who have been affected by these ventures) draw, sing, or speak about their feelings and their interpretations of their lived experience.",0.6,,[],[],2018-01-01,0.0,20.0,[],Released,,Costs,False,0.0,0.0,,
4109,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",http://www.cruzmoore.com,619053.0,,en,Are You Recording?,A fly-on-the-wall display of lives changing and time passing told through an unanswered question.,0.6,/9LkgVV0EdQAIA07Y6z2SbyQAqay.jpg,"[{'id': 115726, 'logo_path': None, 'name': 'JamCam Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-31,0.0,3.0,[],Released,12 years. 67 hours of footage. 4 cameras. 1 question.,Are You Recording?,False,0.0,0.0,,
4110,False,,,0.0,[],,618986.0,,en,Paradox Bullets,A short film which debuted in a secret location in London to coincide with the release of the NikeCraft x Tom Sachs Mars Yard Overshoe,0.6,,[],[],2018-10-07,0.0,25.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Paradox Bullets,False,0.0,0.0,,
4111,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",,618894.0,tt8355302,en,Being Dolphin 4D,"Discover a world of complex, charismatic, highly intelligent creatures in Being Dolphin 4D. Skim the surface and swim to the depths with a pod of dolphins that share the ocean with all sorts of strange and wonderful animals. Set against breathtaking underwater views, this 4D Experience® explores how dolphins engage with each other to survive, thrive and play in the ocean.",0.6,/aRXUf3GTExXOcL0Pj9rW1aTSn6B.jpg,[],[],2018-04-25,0.0,11.0,[],Released,,Being Dolphin 4D,False,0.0,0.0,,
